#Run Subrun PIN RMS
#------------------
109764 199  1009 179.72
109769   0   997 178.69
109769   1   999 179.07
109769   2   993 179.13
109769   3  1002 178.48
109769   4  1003 178.78
109769   5  1000 179.07
109769   6  1001 179.42
109769   7  1003 178.70
109769   8   999 178.99
109769   9  1003 180.11
109769  10  1003 179.63
109769  11  1001 179.67
109769  12   997 178.95
109769  13  1005 179.95
109769  14  1003 179.37
109769  15  1002 179.29
109769  16   997   1.00
109769  17  1006 180.07
109769  18  1004 179.76
109769  19  1003 179.96
109769  20  1003 180.61
109769  21   999 178.92
109769  22  1003 179.42
109769  23   997 179.63
109769  24  1001 178.69
109769  25  1008 179.71
109769  26  1007 179.30
109769  27  1005 178.74
109769  28  1004 180.43
109769  29   998 180.02
109769  30  1001 179.88
109769  31  1003 179.13
109769  32  1000 178.89
109769  33  1002 178.75
109769  34  1000 179.50
109769  35  1003 178.64
109769  36  1002 179.99
109769  37  1000 180.34
109769  38  1002 178.29
109769  39  1001 179.46
109769  40  1000 178.83
109769  41  1002 180.45
109769  42  1002 180.60
109769  43  1002 179.85
109769  44  1007 179.68
109769  45  1004 177.71
109769  46   998 179.05
109769  47  1003 179.13
109769  48  1007 179.85
109769  49  1000 180.39
109769  50  1000 180.30
109769  51  1000 178.80
109769  52  1002 179.24
109769  53  1004 179.72
109769  54  1001 179.47
109769  55  1007 179.27
109769  56  1002 179.94
109769  57  1004 178.74
109769  58  1007 179.17
109769  59  1005 179.42
109769  60  1001 179.98
109769  61  1006 178.73
109769  62  1004 178.90
109769  63  1004 180.52
109769  64  1001 179.19
109769  65  1005 179.66
109769  66  1004 180.41
109769  67  1000 180.16
109769  68  1005 178.50
109769  69  1002 177.76
109769  70  1003 178.23
109769  71  1004 179.94
109769  72  1004 180.14
109769  73  1005 179.83
109769  74  1004 179.47
109769  75  1004 179.38
109769  76  1007 180.07
109769  77  1007 180.93
109769  78  1004 179.51
109769  79  1002 179.41
109769  80  1002 178.82
109769  81  1007 178.26
109769  82  1004 177.73
109769  83  1006 179.69
109769  84  1000 178.47
109769  85   997 178.31
109769  86  1002 179.78
109769  87  1000 179.17
109769  88  1001 179.34
109769  89  1003 179.06
109769  90  1001 180.27
109769  91  1003 179.66
109769  92  1000 181.21
109769  93  1001 178.43
109769  94   999 179.42
109769  95  1005 178.83
109769  96   999 178.83
109769  97   998 180.48
109769  98  1003 181.40
109769  99  1004 179.24
